Расчет 1			Расчет 2			Расчет 3			Расчет 4			Расчет 5			Расчет 6			Расчет 7			Расчет 8			Расчет 9			Расчет 10			Расчет 11			Расчет 12			Расчет 13			Расчет 14			Расчет 15			Расчет 16			Расчет 17			Расчет 18			Расчет 19			Расчет 20			Расчет 21			Расчет 22	
40,8	20,28		40,8	23,04		40,8	25,37		40,8	27,24		40,8	28,71		40,8	29,9		40,8	31,93		40,8	33,23		40,8	34,69		40,8	35,47		40,8	35,97		16,66	20,28		16,66	24,31		16,66	28,18		16,66	31,73		16,66	34,81		16,66	37,5		16,66	42,54		16,66	46,02		16,66	50,2		16,66	52,51		16,66	54,02
42	20,28		42	23,08		42	25,43		42	27,33		42	28,82		42	30,03		42	32,1		42	33,42		42	34,91		42	35,7		42	36,21		17,15	20,28		17,15	24,32		17,15	28,2		17,15	31,76		17,15	34,87		17,15	37,59		17,15	42,69		17,15	46,23		17,15	50,48		17,15	52,82		17,15	54,36
43,2	20,28		43,2	23,11		43,2	25,49		43,2	27,42		43,2	28,94		43,2	30,16		43,2	32,27		43,2	33,62		43,2	35,14		43,2	35,95		43,2	36,47		17,64	20,28		17,64	24,32		17,64	28,22		17,64	31,8		17,64	34,94		17,64	37,68		17,64	42,84		17,64	46,43		17,64	50,75		17,64	53,14		17,64	54,72
44,4	20,28		44,4	23,14		44,4	25,56		44,4	27,51		44,4	29,05		44,4	30,3		44,4	32,44		44,4	33,82		44,4	35,37		44,4	36,19		44,4	36,72		18,13	20,28		18,13	24,33		18,13	28,24		18,13	31,84		18,13	35		18,13	37,77		18,13	43		18,13	46,64		18,13	51,04		18,13	53,47		18,13	55,07
45,6	20,28		45,6	23,17		45,6	25,62		45,6	27,6		45,6	29,17		45,6	30,44		45,6	32,62		45,6	34,02		45,6	35,6		45,6	36,44		45,6	36,99		18,62	20,28		18,62	24,33		18,62	28,25		18,62	31,88		18,62	35,06		18,62	37,86		18,62	43,16		18,62	46,86		18,62	51,33		18,62	53,81		18,62	55,44
46,8	20,28		46,8	23,21		46,8	25,69		46,8	27,7		46,8	29,29		46,8	30,58		46,8	32,8		46,8	34,23		46,8	35,84		46,8	36,7		46,8	37,26		19,11	20,28		19,11	24,34		19,11	28,27		19,11	31,92		19,11	35,13		19,11	37,95		19,11	43,32		19,11	47,07		19,11	51,62		19,11	54,15		19,11	55,81
48	20,28		48	23,24		48	25,75		48	27,79		48	29,41		48	30,72		48	32,98		48	34,44		48	36,09		48	36,97		48	37,53		19,6	20,28		19,6	24,34		19,6	28,29		19,6	31,95		19,6	35,19		19,6	38,05		19,6	43,48		19,6	47,29		19,6	51,92		19,6	54,49		19,6	56,19
49,2	20,28		49,2	23,27		49,2	25,82		49,2	27,89		49,2	29,53		49,2	30,86		49,2	33,17		49,2	34,65		49,2	36,34		49,2	37,24		49,2	37,82		20,09	20,28		20,09	24,35		20,09	28,3		20,09	31,99		20,09	35,25		20,09	38,14		20,09	43,64		20,09	47,51		20,09	52,22		20,09	54,85		20,09	56,58
50,4	20,28		50,4	23,31		50,4	25,88		50,4	27,98		50,4	29,65		50,4	31,01		50,4	33,36		50,4	34,87		50,4	36,59		50,4	37,51		50,4	38,11		20,58	20,28		20,58	24,35		20,58	28,32		20,58	32,02		20,58	35,31		20,58	38,23		20,58	43,8		20,58	47,73		20,58	52,53		20,58	55,21		20,58	56,98
51,6	20,28		51,6	23,34		51,6	25,95		51,6	28,08		51,6	29,77		51,6	31,15		51,6	33,55		51,6	35,09		51,6	36,85		51,6	37,79		51,6	38,4		21,07	20,28		21,07	24,35		21,07	28,33		21,07	32,06		21,07	35,38		21,07	38,32		21,07	43,96		21,07	47,96		21,07	52,84		21,07	55,57		21,07	57,39
52,8	20,28		52,8	23,37		52,8	26,01		52,8	28,18		52,8	29,9		52,8	31,3		52,8	33,74		52,8	35,32		52,8	37,12		52,8	38,08		52,8	38,7		21,56	20,28		21,56	24,36		21,56	28,35		21,56	32,1		21,56	35,44		21,56	38,41		21,56	44,13		21,56	48,19		21,56	53,16		21,56	55,95		21,56	57,8
